Fame.,2526
Fame-,11026
Server',25978
#TrumpPence16,1508
<eos>@dennizenx,17530
Fame!,5391
Fame?,22954
attendees-Can't,27595
hanging,30391
<eos>@rogergreig,18055
<eos>.......,15644
#MarchForLife,9532
<eos><eos>Dr.,16185
LAST,8070
course...,28705
Western,11940
specifics-,33925
@spurs,20921
Retreat,11644
Euro,22828
Tennessee!,4802
Tennessee.,6605
replaces,33198
PORTLAND,25056
bringing,1595
<eos>Met,10125
candidates!,28146
United.States,26693
Loeb,5439
<eos>Eric,18532
<eos>@christineinsatx,17477
Tuesday,1247
path,1685
seven.,33602
<eos>Erin,18533
LOOPHOLES!,24033
270,9677
272,15333
#IAPolitics,9517
Tanja,26387
oars.,32024
nature!,31851
nature.,31852
Covey,22218
tapped-and,34311
Hamilton,5410
College,3369
instructions,30888
@jaketapper.,10521
underestimated.,34820
SPY,11683
<eos>Michigan,10126
<eos>Rickie,18993
Mullally,24635
'Windfall',14900
wiseguy,7331
ou...,32166
Priebus.,11575
@beforeitsnews:,20542
kids,3547
Manufacturers,24379
controversy,28635
error!,29573
fortune.Dems,30033
Off...,24904
<eos>@Bretty1973,16349
over-leveraged,32209
Isler,23726
golden,3218
Harvey,3394
Disloyal,22536
Glenn.,23233
cops.,28656
speeches!,33932
speeches.,5951
speeches-,33933
popular.,32608
CLASSIFIED,21806
music,9036
therefore,2805
anti-gun,27422
@NBCNews.,10402
<eos>@RachelYohee,17042
Barnini,21496
circumstances,12273
morally,13170
locked,7020
liability.,31254
locker,8983
Ocare!,8161
win.Very,35227
Colombia,22105
degrees.,28959
wand,35083
La,6474
Trillion,11850
<eos>via,5253
@GeoffEarle,19692
want,107
<eos>.@KirschnerDavid,15879
honest,2439
Elliott,22753
absolute,2903
Zucker,8420
LA,4165
travel,1783
Administration-a,21124
@ChuckGrassley!,19521
<eos>.@GovernorPerry,5190
@TigerWoods',20362
Macy's,2010
follower.--,29970
HEAD,23330
<eos>@amelionaire69,17371
supplied,34199
'dump',14921
L.,23972
f-u-n?,29738
TERM,26298
wrong,534
<eos>Senior,19039
FOUND,22920
Tenants,26426
Hoping,23505
Editorial:,22725
18th,9659
Navigator,24743
$1T,9588
welcomed,14073
<eos>@jodiyilek,17739
@Mediaite,5270
rewarded,33314
welcomes,35163
Abbott,21091
His,923
Hit,23480
fit,5726
lifeline,8973
screaming,13650
fix,589
levels--fire,31248
<eos>Each,4537
Him,3759
welcome.,35162
welcome!,35161
<eos>@nicla,17946
HIGH,11118
@JoelAllenWPDE:Big,19830
effects,29420
Will.,26989
LOSING,24035
over-rated,32210
fired.Refuses,29898
saddened,13623
bankrupt.,3167
OBAMACARE!,11472
Smith:,11725
whacking,35185
<eos>@bonbon823,17423
@TraceAdkins.,20373
bankrupt!,6704
restaurants!,13578
Smith.,26080
<eos>7.8,16174
arrow,903
Rates,11613
celebrating?,28217
restaurants.,7166
development,5680
correct...an,28663
correct!,3495
correct.,6785
ANNOUNCES,21061
'will',14992
393,15378
391,9685
<eos>Dwight,18501
impossible,2766
Dorothy.,22584
Crowds,10889
<eos>Hamas,18630
touts,34624
ad's.,27189
<eos>expensive,19272
Fact:,22940
encourage,6844
adapt,12000
again--100,27248
<eos>@toyeenb,18182
@TheStreet,20351
compete.,28494
sheep,33638
<eos>Penn,18895
MEDIA,6486
<eos>.@KathieLGifford,15872
Govt-what,23263
<eos>@BeckettGOP,16301
$'s,1438
Diamond,1575
sheet,33640
estimate,29591
@GaRepublicans,19685
#CEOTownHall,14181
<eos>Explain,10054
Search.,25940
misrepresentation?,31710
nasty.,5831
Facts,11019
nasty!,13185
nasty',31843
<eos>@Eurphrosye,16526
ireland,30981
meltdown.,31607
@bobvanderplaats,7736
work-my,35300
meltdown!,31604
10am:,15132
@Toure,7722
windmills,4482
LAND,23981
